A._A._Attanasio
A._A._Gill
A._A._Milne
Aaron_Allston
Aaron_David_Miller
Aaron_Elkins
Aaron_Hoffman
Aaron_McGruder
Aaron_Sorkin
Aasmund_Olavsson_Vinje
Aatreya
A._Ayyappan
Abai_Qunanbaiuli
Abbie_Hoffman
Abdillahi_Suldaan_Mohammed_Timacade
Abdourahman_Waberi
Abdul_Hai_Habibi
Abdulla_Goran
Abdullah_bin_Abdul_Kadir
Abdullah_Hussain
Abdul_Muis
Abdurakhman_Avtorkhanov
Abdurrahman_Sharafkandi
Abelardo_Castillo
Abelardo_Díaz_Alfaro
Aben_Kandel
Abeozen
A._Bertram_Chandler
Abi_Morgan
Abolqasem_Lahouti
Abraham_Abulafia
Abraham_Verghese
Absalon_Pederssøn_Beyer
A._B._Spellman
Abu_Al-Asar_Hafeez_Jullundhri
A._B._Yehoshua
A._C._Baantjer
Ace_Atkins
A.C._Greene_Jr._(author)
Acharya_Kuber_Nath_Rai
Achille_Campanile
Achim_Freyer
Achy_Obejas
Ada_Jafri
Adalbert_Bezzenberger
Adalberto_Ortiz
Adalbert_Stifter
Adam_Asnyk
Adam_Browne
Adam_Gopnik
Adam_Hamilton_(pastor)
Adam_Horowitz
Adam_Jack_Aitken
Adam_Johnson_(writer)
Adam_Kassen
Adam_Kotsko
Adam_Kuckhoff
Adam_McKay
Adam_Mickiewicz
Adam_Müller
Adam_Oehlenschläger
Adam_Rapp
Adam_Rex
Adam_Roberts_(British_writer)
Adam_Thorpe
Adam_Ulam
Adam_Ważyk
Adavi_Baapiraju
Adelaide_Crapsey
Adélaïde_Dufrénoy
Adelbert_von_Chamisso
Adèle_Geras
Adele_Wiseman
Adolf_Dygasiński
Adolfo_Bioy_Casares
Adolfo_de_Carolis
Adolph_Murie
Adriaan_van_Dis
Adrian_Cole_(writer)
Adrian_Henri
Adrian_James_Martyn
Adrian_McKinty
Adriano_González_León
Adrian_Păunescu
Adrian_Scott
Adrian_Spies
Adrian_Willaert
Adrienne_Kennedy
Adrienne_Rich
Adunis
A._E._Housman
Aesop
A._E._Stallings
A._E._van_Vogt
A._E._W._Mason
Afanasy_Fet
Afdhere_Jama
Afonso_Arinos
Africanus_Horton
Agatha_Christie
Agenore_Incrocci
Åge_Rønning
Agha_Shorish_Kashmiri
Agnes_Blannbekin
Agnes_Christine_Johnston
Agnes_Miegel
Agnes_Sligh_Turnbull
Agnes_Strickland
Agniya_Barto
Agrippa_d'Aubigné
Aharon_Appelfeld
Ahmad_Faraz
Ahmad_Javad
Ahmad_Kamyabi_Mask
Ahmad_Khani
Ahmad_Nadeem_Qasmi
Ahmadou_Kourouma
Ahmad_Rida
Ahmad_Shamloo
Ahmad_Tohari
Ahmed_Benchemsi
Ahmed_Ismail_Samatar
Ahmed_Khaled_Tawfik
Ahmed_Niyazi_Bey
Ahmed_Pervez
Ahmed_Sharif
Ahmed_Shawqi
Ahmed_Sofa
Ahmet_Ağaoğlu
Ahmet_Hamdi_Tanpınar
Ahn_Junghyo
A._I._Bezzerides
Aidan_Higgins
Ailsa_Piper
Aimée_Sommerfelt
Ai_(poet)
Ai_Qing
Aisha_Muharrar
Ai_Yazawa
Aizu_Yaichi
A._J._Cronin
Ajip_Rosidi
Ajjada_Adibhatla_Narayana_Dasu
A._J._M._Smith
A._J._Quinnell
Akaki_Tsereteli
Aka_Morchiladze
Akbar_Allahabadi
Åke_Edwardson
Akhlaq_Mohammed_Khan
Akhtar_Sheerani
Akhteruzzaman_Elias
Akiko_Yosano
Akilan
Akimitsu_Takagi
Akira_Yoshimura
Akiyuki_Nosaka
Akkitham_Achuthan_Namboothiri
Alaa_Al_Aswany
Alafair_Burke
Alain_Daniélou
Alain_de_Botton
Alain_Elkann
Alain-Fournier
Alain_Grandbois
Alain_Jouffroy
Alain_LeRoy_Locke
Alain-René_Lesage
Alain_Soral
Al_Alvarez
Alan_Ansen
Alan_Axelrod
Alan_Ayckbourn
Alan_Bissett
Alan_B._McElroy
Alan_Booth
Alan_Bradley_(writer)
Alan_Burns_(author)
Alan_Campbell_(writer)
Alan_Cheuse
Alan_Clarke
Alan_Coleman
Alan_Dean_Foster
Alan_Duff
Alan_Edward_Mulgan
Alan_E._Nourse
Alan_Garner
Alan_Halsey
Alan_Hollinghurst
Alan_Judd
Alan_M._Clark
Alan_Melville_(writer)
Alan_M._Kent
Alan_Moore
Alan_Noel_Latimer_Munby
Alan_Pizzarelli
Alan_Plater
Alan_Ranta
Alan_Sharp
Alan_Sheridan
Alan_Sillitoe
Alan_Warner
Alan_Wearne
Alan_Whicker
Alan_Williams_(novelist)
Alan_Zweibel
Alasdair_Gray
Alastair_Reid
Alastair_Reynolds
Albert_Cossery
Albert_Hague
Albert_Kivikas
Albert_Mannheimer
Albert_Nofi
Alberto_Arbasino
Alberto_de_Oliveira
Alberto_Moravia
Alberto_Vázquez-Figueroa
Albert_Robida
Albert_Soboul
Albert_Thibaudet
Albrecht_Behmel
Albrecht_Rodenbach
Alden_Nowlan
Alden_R._Hatch
Aldo_Busi
Aldo_Leopold
Aldo_Palazzeschi
Aldous_Huxley
Alec_Butler
Alecu_Donici
Alejandrina_Benítez_de_Gautier
Alejandro_Carrión
Alejandro_Dolina
Alejandro_Tapia_y_Rivera
Alejo_Carpentier
Aleko_Konstantinov
Aleksandar_Hemon
Aleksander_Chodźko
Aleksander_Fredro
Aleksandër_Stavre_Drenova
Aleksandr_Kuprin
Aleksandr_Solzhenitsyn
Aleksandr_Sukhovo-Kobylin
Aleksandr_Tvardovsky
Aleksa_Šantić
Aleksey_Konstantinovich_Tolstoy
Aleksey_Nikolayevich_Tolstoy
Aleksey_Pisemsky
Aleksey_Pleshcheyev
Aleksey_Zhemchuzhnikov
Alenka_Puhar
Aleš_Debeljak
Alessandro_Manzoni
Alessandro_Verri
Aleš_Šteger
Alexander_Abusch
Alexander_Afanasyev
Alexander_Afinogenov
Alexander_Alexandrovich_Fadeyev
Alexander_Amfiteatrov
Alexander_Baron
Alexander_Belyayev
Alexander_Bestuzhev
Alexander_Brome
Alexander_Chalmers
Alexander_C._Irvine
Alexander_Cordell
Alexander_Crutchfield
Alexander_Druzhinin
Alexander_Dukhnovich
Alexander_Dyukov_(historian)
Alexander_Esenin-Volpin
Alexander_Faulkner_Shand
Alexander_Grin
Alexander_Hall
Alexander_Hume
Alexander_Isaakovich_Gelman
Alexander_Jablokov
Alexander_Kazantsev
Alexander_Kielland
Alexander_Laurence
Alexander_Lernet-Holenia
Alexander_McCall_Smith
Alexander_Melentyevich_Volkov
Alexander_Odoevsky
Alexander_of_Villedieu
Alexander_Ostrovsky
Alexander_Pope
Alexander_Posey
Alexander_Pushkin
Alexander_Radishchev
Alexander_Radó
Alexander_Ross_(writer)
Alexander_Serafimovich
Alexander_Skabichevsky
Alexander_Vampilov
Alexander_Veltman
Alexander_Woollcott
Alexander_Yashin
Alexander_Zorich
Alexandra_Cunningham
Alexandra_Fuller
Alexandre_Dumas
Alexandre_Herculano
Alexandre_Jardin
Alexandre_Mercereau
Alexandre-Vincent_Pineux_Duval
Alexandros_Rizos_Rangavis
Alexandru_Bogdan-Pitești
Alexandru_Macedonski
Alexandru_Toma
Alex_Beam
Alex_Berenson
Alexei_Mateevici
Alex_Finlayson
Alex_Haley
Alexis_Lichine
Alexis_Nour
Alexis_Wright
Alex_Massie_(journalist)
Alex_Miller_(writer)
Alex_Randolph
Alex_Sánchez_(author)
Alex_Scarrow
Alex_Shearer
Alex_von_Tunzelmann
Alfian_Sa'at
Alfonsina_Storni
Alfonso_Calderón
Alfonso_Daniel_Rodríguez_Castelao
Alfonso_Gatto
Alfonso_Vallejo
