A._A._Attanasio
Aakash_Pandey
A._A._Milne
A._A._Phillips
Aarne_Tarkas
Aaron_Allston
Aaron_Gwyn
Aaron_Korsh
Aaron_McGruder
Aaron_Michael_Metchik
Aaron_Rose
Aaron_Ruben
Aaron_Shure
Aaron_Spelling
Aaron_Springer
Aaron_Swartz
Aarudhra
Aasif_Mandvi
Aasmund_Olavsson_Vinje
A._Ayyappan
A._Bates
Abbas_el-Akkad
Abbas-Mustan
Abbas_Vasi
Abbie_Hoffman
Abbi_Jacobson
A.B.C._Whipple
Abdal_Bela
Abd_al-Wahhab_Al-Bayati
Abdellah_Taïa
Abdellatif_Laabi
Abdi_Kusow
Abdillahi_Suldaan_Mohammed_Timacade
Abdisalam_Issa-Salwe
Abdizhamil_Karimuly_Nurpeisov
Abdón_Ubidia
Abdoulaye_Mamani
Abdul_Gaffar_Choudhury
Abdul_Ghafoor_Breshna
Abdul_Hameed_Adam
Abdul_Hameed_(writer)
Abdul_Hamid_Bahij
Abdulhussain_Abdulredha
Abdul_Khaliq_(philosopher)
Abdulla_Aliş
Abdulla_Goran
Abdullah_Abu_Sayeed
Abdullah_Al-Eyaf
Abdullah-Al-Muti
Abdullah_Aymaz
Abdullah_Cevdet
Abdullah_Hussain
Abdullah_Öcalan
Abdulla_Oripov
Abdulla_Qahhor
Abdulla_Qodiriy
Abdul_Matin_(poet)
Abdulrazak_Eid
Abdul_Shakoor_Rashad
Abdul-Wasa_Al-Saqqaf
Abdurrahman_Sharafkandi
Abdussalam_Puthige
Abed_Elrahim_Abu_Zakrra
Abe_Forsythe
Abelardo_Castillo
Abel_Herzberg
Abel_Meeropol
Abel_Paz
Abeozen
Abe_Walsh
Abha_Dawesar
Abhay_Kumar
Abhijat_Joshi
A._Bhimsingh
Abhishek_Agrawal
Abhishek_Kapoor
Abigail_Pogrebin
Abigail_Reynolds
Abner_Dieujuste
Abolqasem_Lahouti
Aboul-Qacem_Echebbi
Abraham_Abulafia
Abraham_Burickson
Absinthe_Green
A._B._Spellman
Abu_Al-Asar_Hafeez_Jullundhri
Abul_Fazal_(writer)
Abul_Hasan_(poet)
Abu_Nuwas
Abuzar_Aydamirov
A._B._Yehoshua
