A._A._Attanasio
Aadhavan_Sundaram
Aage_Borchgrevink
A._A._Gill
Aagot_Vinterbo-Hohr
A._A._Milne
A._A._Phillips
Aaron_Albert_Carr
Aaron_Allston
Aaron_Bernstein
Aaron_Bushkowsky
Aaron_David_Miller
Aaron_Ehasz
Aaron_Elkins
Aaron_Gervais
Aaron_Goldfarb
Aaron_Gwyn
Aaron_Hoffman
Aaron_McGruder
Aaron_of_Trebowla
Aaron_Peck
Aaron_Sorkin
Aasmund_Brynildsen
Aasmund_Olavsson_Vinje
Aasne_Linnestå
Aatreya
A._Ayyappan
Abai_Qunanbaiuli
Abani_Chakraborty
A._Bates
Abbas_Vasi
Abbé_Aubert
Abbé_François_Blanchet
Abbie_Hoffman
Abby_Gaines
Abby_Morton_Diaz
Abby_Rosmarin
A.B.C._Whipple
Abdal_Bela
Abdallah_Marrash
Abdi_Kusow
Abdillahi_Suldaan_Mohammed_Timacade
Abdisalam_Issa-Salwe
Abdizhamil_Karimuly_Nurpeisov
Abdoldjavad_Falaturi
Abdón_Ubidia
Abdoulaye_Mamani
Abdourahman_Waberi
Abdul_Awal_Mintoo
Abdul_Hai_Habibi
Abdul_Halim_Sharar
Abdul_Hameed_Adam
Abdul_Hameed_(writer)
Abdul_Hamid_Bahij
Abdulkadir_Yahya_Ali
Abdulla_Aliş
Abdulla_Goran
Abdullah_Abu_Sayeed
Abdullah_al-Qasemi
Abdullah_Aymaz
Abdullah_bin_Abdul_Kadir
Abdullah_Hussain
Abdulla_Oripov
Abdulla_Qahhor
Abdulla_Qodiriy
Abdul_Matin_(language_activist)
Abdul_Muis
Abdul-Vahed_Niyazov
Abdul_Vaheed_`Kamal'
Abdurakhman_Avtorkhanov
Abdurrahman_Sharafkandi
Abdur_Razzaq_(professor)
Abdussalam_Puthige
Abed_Elrahim_Abu_Zakrra
Abeer_Hamza
Abelardo_Castillo
Abelardo_Díaz_Alfaro
Abel_Herzberg
Abel_Stevens
Aben_Kandel
Abeozen
A._Bertram_Chandler
Abe_Walsh
Abha_Dawesar
Abhay_Kumar_Dubey
Abhijit_Bhaduri
Abhishek_Agrawal
Abigail_Garner
Abigail_Pogrebin
Abigail_Reynolds
Abi_Morgan
Abner_Dieujuste
