Ahmet Hamdi Tanpınar
Attilâ İlhan
Cahit Sıtkı Tarancı
Can Yücel
Elif Şafak
Erol Günaydın
Fatma Aliye Topuz
Ferhan Şensoy
Fuzûlî
Halide Edip Adıvar
Mehmet Akif Ersoy
Nihal Atsız
Ömer Seyfettin
Orhan Kemal
Orhan Pamuk
Orhan Veli Kanık
Peyami Safa
Reşat Nuri Güntekin
Rıfat Ilgaz
Sabahattin Ali
Sait Faik Abasıyanık
Yahya Kemal Beyatlı
Yakup Kadri Karaosmanoğlu
Yaşar Kemal
Ziya Gökalp
